date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:52	15557/15557	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20May%202021%2018:50:51%20GMT	https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/usermanagement.rushcard.com/activate49d9.html	(from )
20:50:53	816/816	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2002%20May%202021%2018:50:52%20GMT	https://usermanagement.rushcard.com/robots.txt		(from )
20:50:55	787/787	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-57x57.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-57x57.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:50:56	1915/1915	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-114x114.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-114x114.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:04	1045/1045	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-72x72.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-72x72.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:06	2644/2644	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-144x144.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-144x144.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:07	823/823	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-60x60.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-60x60.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:08	2036/2036	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-120x120.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-120x120.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:09	1122/1122	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-76x76.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-76x76.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
20:51:11	2822/2822	---M--	200	added ('OK')	image/png	etag:%229dc0d18d4570d61:0%22	https://content.rushcard.com//content/images/favicon/apple-touch-icon-152x152.png	C:/Users/Mostafa%20Ayed/Desktop/New%20folder%20(4)/bbb/content.rushcard.com/content/images/favicon/apple-touch-icon-152x152.png	(from https://usermanagement.rushcard.com/activate?fbclid=IwAR3QjmWfHSq3JxWzEeDXrcPMuuuCszS6eLBh_Ojocgc_Gbqya1R6ROdU9OQ)
